"","Hard_Coral","Soft_Coral","Bleached_Coral","Population_Bleached","Barramundi Cod","Butterflyfish","Coral Trout","Moray","Grouper","Qld Grouper","Humphead","Bumphead","Parrotfish","Snapper","Sweetlips","Clam","Sea cucumber","Urchins","Anemone","Banded coral shrimp","Trochus","Triton","Lobster","Drupella snail","Crown of Throwns","Coral damage","Coral disease","Unknown coral scar","Drupella scar","COTS scar","Marine debris","HC","SC","BC","RKC","RC","NIA","SP","OT","SI","RB","SD","Location","Date"
"1",31.25,3.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,31.25,3.125,0,3.75,19.375,5.625,7.5,3.125,0,16.25,10,"Agincourt Reef - 12 Apostles",2003-03-19
"2",32.5,1.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,32.5,1.25,0,0.625,36.875,6.875,0.625,0.625,0,5,15.625,"Agincourt Reef - Agincourt 2D (Pontoon)",2008-05-17
"3",43.75,2.5,11.88,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,10,0,25,1,0,0,43.75,2.5,11.875,1.25,22.5,3.75,1.25,0.625,0,1.875,10.625,"Agincourt Reef - Agincourt 3D (Pontoon)",2009-03-01
"4",59.38,1.25,4.38,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,59.375,1.25,4.375,0,28.125,1.25,0,0,0.625,0.625,4.375,"Agincourt Reef - Agincourt 3D (Pontoon)",2010-02-06
"5",45.63,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,45.625,0,0,9.375,25.625,4.375,0.625,1.25,2.5,3.75,6.875,"Agincourt Reef - Agincourt 3D (Pontoon)",2003-03-10
"6",37.5,1.25,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,2,0,0,0,0,0,3,0,17,3,0,2,1,0,37.5,1.25,0,0,28.125,13.125,2.5,1.875,0,5.625,10,"Agincourt Reef - Agincourt 3D (Pontoon)",2004-02-12
"7",28.75,0.63,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.75,0.625,3.125,1.875,28.75,10.625,0.625,1.25,3.125,2.5,18.75,"Agincourt Reef - Agincourt 3D (Pontoon)",2005-02-19
"8",56.88,1.25,0,4,0,25,0,0,0,0,0,0,8,7,0,2,0,0,0,0,0,0,0,0,0,24,3,15,0,0,0,56.875,1.25,0,0,31.25,3.125,0,0,0,0,7.5,"Agincourt Reef - Agincourt 3D (Pontoon)",2012-06-24
"9",45.63,0.63,1.88,12.75,0,17,0,0,3,0,0,0,17,1,0,3,0,0,0,0,0,0,0,0,0,28,16,25,0,0,0,45.625,0.625,1.875,0,30.625,11.875,0,0,1.875,0,7.5,"Agincourt Reef - Agincourt 3D (Pontoon)",2013-08-25
"10",51.25,1.25,0,3.75,0,14,0,0,0,0,0,0,4,9,0,10,0,0,0,0,0,0,0,0,0,20,7,13,0,0,0,51.25,1.25,0,19.375,20,0,0,0.625,0,1.25,6.25,"Agincourt Reef - Agincourt 3D (Pontoon)",2011-03-27
